MSS,MSS_CCR
HSS,HLR_All_KPI
HSS,HSS_All_KPI
MSS,MSS_LUSR
SGSN,SGSN_All_KPI
SGSN,SGSN_Attach
GGSN,GGSN_All_KPI
GGSN,GGSN_Session
HSS,HLR_All_KPI
HSS,HSS_All_KPI
MSS,MSS_LUSR
SGSN,SGSN_All_KPI
SGSN,SGSN_Attach
GGSN,GGSN_All_KPI
GGSN,GGSN_Session
IMS,IMS_All_KPI
IMS,IMS_SSS_KPI
MSS,MSS_CCR
HSS,HLR_All_KPI
HSS,HSS_All_KPI
MSS,MSS_LUSR
SGSN,SGSN_All_KPI
SGSN,SGSN_Attach
GGSN,GGSN_All_KPI
GGSN,GGSN_Session
MSS,MSS_CCR
HSS,HLR_All_KPI
HSS,HSS_All_KPI
MSS,MSS_LUSR
SGSN,SGSN_All_KPI
SGSN,SGSN_Attach
GGSN,GGSN_All_KPI
GGSN,GGSN_Session
MSS,MSS_CCR
HSS,HLR_All_KPI
HSS,HSS_All_KPI
MSS,MSS_LUSR
SPS,SPS_KPI
SGSN,SGSN_All_KPI
SGSN,SGSN_Attach
GGSN,GGSN_All_KPI
GGSN,GGSN_Session
MSS,MSS_CCR
HSS,HLR_All_KPI
HSS,HSS_All_KPI
MSS,MSS_LUSR
SGSN,SGSN_All_KPI
SGSN,SGSN_Attach
GGSN,GGSN_All_KPI
GGSN,GGSN_Session
